Start Time,Stop Time,Station ID,UserType
1/1/2017 0:21,1/1/2017 0:24,3276,Subscriber
1/1/2017 0:24,1/1/2017 0:45,3183,Subscriber
1/1/2017 0:38,1/1/2017 0:44,3183,Subscriber
1/1/2017 0:38,1/1/2017 1:03,3194,Subscriber
1/1/2017 1:47,1/1/2017 1:58,3183,Subscriber
1/1/2017 1:56,1/1/2017 2:00,3186,Subscriber
1/1/2017 2:12,1/1/2017 2:23,3270,Subscriber
1/1/2017 2:15,1/1/2017 2:25,3192,Subscriber
1/1/2017 2:16,1/1/2017 2:25,3192,Subscriber
1/1/2017 2:22,1/1/2017 2:31,3212,Subscriber
1/1/2017 2:22,1/1/2017 2:31,3212,Subscriber
1/1/2017 2:23,1/1/2017 2:27,3186,Subscriber
1/1/2017 2:33,1/1/2017 3:01,3213,Subscriber
1/1/2017 2:37,1/1/2017 2:43,3186,Subscriber
1/1/2017 3:09,1/1/2017 3:14,3202,Subscriber
1/1/2017 3:16,1/1/2017 3:22,3187,Subscriber
1/1/2017 3:24,1/1/2017 3:26,3186,Subscriber
1/1/2017 3:52,1/1/2017 3:55,3203,Subscriber
1/1/2017 4:35,1/1/2017 13:57,3275,Customer
1/1/2017 4:35,1/1/2017 4:45,3275,Customer
1/1/2017 5:17,1/1/2017 5:25,3183,Subscriber
1/1/2017 5:25,1/1/2017 5:29,3195,Subscriber
1/1/2017 6:29,1/1/2017 6:31,3186,Subscriber
1/1/2017 7:08,1/1/2017 7:15,3195,Subscriber
1/1/2017 7:12,1/1/2017 7:20,3195,Subscriber
1/1/2017 7:38,1/1/2017 7:51,3281,Subscriber
1/1/2017 7:55,1/1/2017 8:02,3192,Subscriber
1/1/2017 8:16,1/1/2017 8:24,3195,Subscriber
1/1/2017 8:24,1/1/2017 8:28,3186,Subscriber
1/1/2017 8:56,1/1/2017 9:05,3196,Subscriber
1/1/2017 8:58,1/1/2017 9:00,3270,Subscriber
1/1/2017 9:14,1/1/2017 9:16,3211,Subscriber
1/1/2017 9:20,1/1/2017 9:40,3267,Subscriber
1/1/2017 9:23,1/1/2017 9:38,3210,Subscriber
1/1/2017 9:27,1/1/2017 9:33,3272,Subscriber
1/1/2017 9:31,1/1/2017 9:35,3272,Subscriber
